location,sum(population),avg(population_density),NewCaseRate,sum(new_cases)
Macao,658391.0,20546.0,0.0,0
Monaco,39520.0,19347.0,0.0,0
Singapore,5453600.0,7915.0,0.0028527944843772923,15558
Hong Kong,7552800.0,7039.0,4.779684355470819E-5,361
Gibraltar,33691.0,3457.0,0.0027010180760440473,91
Bahrain,1748295.0,1935.0,0.004027924349151602,7042
Malta,516100.0,1454.0,3.390815733385003E-4,175
Maldives,543620.0,1454.0,0.0028990839189139473,1576
Bermuda,62092.0,1308.0,0.0022064034014043677,137
Bangladesh,1.66303488E8,1265.0,5.633676186034054E-5,9369
