location,sum(population),sum(new_cases),avg(people_fully_vaccinated),vaccination_rate
Israel,6.680229E9,3247419,4684430.146634615,29.171499075855035
Malta,3.638505E8,69175,283734.9375,28.697076683967726
Chile,1.3756051192E10,2405672,1.015056441602067E7,28.55665753326458
Gibraltar,2.3785846E7,13740,31705.87922705314,27.592531289406313
Uruguay,2.429150944E9,733010,2013292.1075949366,26.190233569939902
Bahrain,1.250030925E9,428123,927697.825958702,25.158542617655637
Singapore,4.0738392E9,405629,2600991.942257218,24.325406118140354
Ireland,3.53786184E9,1221082,2106327.287841191,23.993302604490626
Denmark,4.284403574E9,2037891,2488299.962962963,23.5216283338858
United Kingdom,5.0405055768E10,17062910,2.958768223155216E7,23.069033333719847
